t(ticks) ; nlug ; id_viat ; observ
    8222 ;    2 ;      17 ; saida
    8293 ;    1 ;      25 ; saida
    8378 ;    2 ;      32 ; estacionamento
    8764 ;    1 ;      27 ; saida
    8811 ;    2 ;      28 ; estacionamento
    8943 ;    1 ;      28 ; saida
    9140 ;    0 ;      32 ; saida
    9748 ;    1 ;      36 ; estacionamento
    9910 ;    0 ;      36 ; saida
    9963 ;    1 ;      40 ; estacionamento
   10346 ;    0 ;      40 ; saida
   10370 ;    1 ;      45 ; estacionamento
   10708 ;    0 ;      45 ; saida
   10773 ;    1 ;      58 ; estacionamento
   10978 ;    0 ;      58 ; saida
   11043 ;    1 ;      73 ; estacionamento
   11382 ;    0 ;      73 ; saida
   11405 ;    1 ;      54 ; estacionamento
   11657 ;    0 ;      54 ; saida
   11676 ;    1 ;      31 ; estacionamento
   11986 ;    0 ;      31 ; saida
   12007 ;    1 ;      33 ; estacionamento
   14746 ;    2 ;      96 ; estacionamento
   15056 ;    1 ;      96 ; saida
   15659 ;    2 ;      97 ; estacionamento
   16075 ;    1 ;      97 ; saida
   16684 ;    2 ;      52 ; estacionamento
   16954 ;    1 ;      52 ; saida
   16974 ;    2 ;      77 ; estacionamento
   17187 ;    1 ;      77 ; saida
   17202 ;    2 ;      47 ; estacionamento
   17575 ;    1 ;      47 ; saida
   17588 ;    2 ;      72 ; estacionamento
   17716 ;    3 ;      78 ; estacionamento
   18042 ;    2 ;      78 ; saida
   18061 ;    3 ;     100 ; estacionamento
   18132 ;    4 ;      61 ; estacionamento
   18356 ;    3 ;     100 ; saida
   18398 ;    2 ;      61 ; saida
   18412 ;    3 ;      76 ; estacionamento
   18585 ;    2 ;      76 ; saida
   18598 ;    3 ;      55 ; estacionamento
   18820 ;    4 ;      41 ; estacionamento
   18895 ;    5 ;      65 ; estacionamento
   19064 ;    6 ;      50 ; estacionamento
   19216 ;    5 ;      41 ; saida
   19249 ;    6 ;      44 ; estacionamento
   19337 ;    5 ;      65 ; saida
   19377 ;    4 ;      72 ; saida
   19419 ;    5 ;      35 ; estacionamento
   19527 ;    4 ;      35 ; saida
   19559 ;    5 ;      38 ; estacionamento
   19986 ;    4 ;      38 ; saida
   20016 ;    5 ;      59 ; estacionamento
   20077 ;    6 ;      42 ; estacionamento
   20255 ;    5 ;      42 ; saida
   20408 ;    4 ;      50 ; saida
   20425 ;    3 ;      55 ; saida
   20442 ;    2 ;      59 ; saida
   20457 ;    3 ;      53 ; estacionamento
   20740 ;    2 ;      44 ; saida
   20774 ;    1 ;      33 ; saida
   20812 ;    2 ;      90 ; estacionamento
   20834 ;    1 ;      53 ; saida
   20880 ;    2 ;      94 ; estacionamento
   20988 ;    1 ;      94 ; saida
   21012 ;    2 ;      64 ; estacionamento
   21037 ;    1 ;      90 ; saida
   21064 ;    2 ;      91 ; estacionamento
   21087 ;    3 ;      92 ; estacionamento
   21214 ;    2 ;      91 ; saida
   21237 ;    3 ;      75 ; estacionamento
   21474 ;    2 ;      92 ; saida
   21520 ;    3 ;      43 ; estacionamento
   21568 ;    4 ;      98 ; estacionamento
   21767 ;    3 ;      43 ; saida
   21804 ;    4 ;      49 ; estacionamento
   21882 ;    3 ;      49 ; saida
   21913 ;    2 ;      75 ; saida
   21939 ;    1 ;      64 ; saida
   21972 ;    2 ;      51 ; estacionamento
   22006 ;    1 ;      98 ; saida
   22046 ;    2 ;      74 ; estacionamento
   22249 ;    1 ;      51 ; saida
   22263 ;    2 ;      60 ; estacionamento
   22317 ;    1 ;      74 ; saida
   22342 ;    2 ;      46 ; estacionamento
   22443 ;    1 ;      46 ; saida
   22464 ;    2 ;      71 ; estacionamento
   22526 ;    1 ;      60 ; saida
   22549 ;    2 ;      67 ; estacionamento
   22649 ;    1 ;      71 ; saida
   22674 ;    2 ;      93 ; estacionamento
   22776 ;    1 ;      93 ; saida
   22799 ;    2 ;      70 ; estacionamento
   22936 ;    1 ;      67 ; saida
   22954 ;    2 ;      69 ; estacionamento
   22979 ;    3 ;      68 ; estacionamento
   23163 ;    2 ;      68 ; saida
   23180 ;    3 ;      63 ; estacionamento
   23224 ;    2 ;      69 ; saida
   23245 ;    1 ;      63 ; saida
   23261 ;    2 ;      48 ; estacionamento
   23279 ;    3 ;      62 ; estacionamento
   23871 ;    4 ;      66 ; estacionamento
   24131 ;    3 ;      66 ; saida
   24148 ;    2 ;      62 ; saida
   24162 ;    1 ;      70 ; saida
   24181 ;    2 ;      56 ; estacionamento
   24418 ;    3 ;      89 ; estacionamento
   24515 ;    2 ;      56 ; saida
   24553 ;    3 ;      57 ; estacionamento
   24740 ;    2 ;      57 ; saida
   24812 ;    1 ;      89 ; saida
   25337 ;    2 ;      99 ; estacionamento
   25457 ;    1 ;      99 ; saida
   25480 ;    2 ;     102 ; estacionamento
   25736 ;    1 ;     102 ; saida
   25757 ;    2 ;      88 ; estacionamento
   25977 ;    1 ;      88 ; saida
   26369 ;    2 ;      95 ; estacionamento
   26533 ;    3 ;     103 ; estacionamento
   26809 ;    2 ;      95 ; saida
   26828 ;    1 ;     103 ; saida
   26841 ;    0 ;      48 ; saida
   27407 ;    1 ;     101 ; estacionamento
   27837 ;    0 ;     101 ; saida
   28510 ;    1 ;     113 ; estacionamento
   28803 ;    0 ;     113 ; saida
   28901 ;    1 ;     146 ; estacionamento
   29336 ;    0 ;     146 ; saida
   29360 ;    1 ;     152 ; estacionamento
   29457 ;    2 ;     114 ; estacionamento
   29778 ;    1 ;     152 ; saida
   29843 ;    0 ;     114 ; saida
   29867 ;    1 ;     135 ; estacionamento
   30041 ;    0 ;     135 ; saida
   30068 ;    1 ;     138 ; estacionamento
   30159 ;    0 ;     138 ; saida
   30324 ;    1 ;     145 ; estacionamento
   30616 ;    0 ;     145 ; saida
   30643 ;    1 ;     121 ; estacionamento
   30976 ;    0 ;     121 ; saida
   31004 ;    1 ;     162 ; estacionamento
   31084 ;    2 ;     165 ; estacionamento
   31300 ;    1 ;     165 ; saida
   31350 ;    2 ;     174 ; estacionamento
   31416 ;    1 ;     174 ; saida
   31457 ;    0 ;     162 ; saida
   31595 ;    1 ;     105 ; estacionamento
   31833 ;    0 ;     105 ; saida
   31866 ;    1 ;     117 ; estacionamento
   32357 ;    2 ;     166 ; estacionamento
   32703 ;    1 ;     166 ; saida
   32746 ;    2 ;      85 ; estacionamento
   32836 ;    3 ;     124 ; estacionamento
   33015 ;    2 ;     124 ; saida
   33059 ;    3 ;     170 ; estacionamento
   33275 ;    2 ;     170 ; saida
   33318 ;    3 ;     128 ; estacionamento
   33419 ;    2 ;     128 ; saida
   33489 ;    3 ;     167 ; estacionamento
   33571 ;    4 ;      80 ; estacionamento
   33649 ;    3 ;      80 ; saida
   33761 ;    2 ;     167 ; saida
   33790 ;    1 ;      85 ; saida
   33829 ;    2 ;     129 ; estacionamento
   34401 ;    3 ;     107 ; estacionamento
   34723 ;    2 ;     107 ; saida
   34818 ;    3 ;     109 ; estacionamento
   35132 ;    2 ;     109 ; saida
   35139 ;    3 ;     112 ; estacionamento
   35371 ;    4 ;     130 ; estacionamento
   35555 ;    3 ;     112 ; saida
   35585 ;    4 ;     136 ; estacionamento
   35616 ;    3 ;     130 ; saida
   35658 ;    4 ;     151 ; estacionamento
   35695 ;    3 ;     136 ; saida
   35725 ;    4 ;     140 ; estacionamento
   35853 ;    3 ;     151 ; saida
   35890 ;    4 ;     154 ; estacionamento
   35916 ;    3 ;     140 ; saida
   35947 ;    4 ;     147 ; estacionamento
   36001 ;    5 ;     149 ; estacionamento
   36164 ;    4 ;     154 ; saida
   36212 ;    5 ;     157 ; estacionamento
   36298 ;    4 ;     157 ; saida
   36343 ;    5 ;     158 ; estacionamento
   36380 ;    4 ;     147 ; saida
   36448 ;    3 ;     149 ; saida
   36468 ;    2 ;     158 ; saida
   36479 ;    3 ;     169 ; estacionamento
   36511 ;    4 ;     160 ; estacionamento
   36821 ;    3 ;     160 ; saida
   36833 ;    2 ;     169 ; saida
   36855 ;    3 ;     161 ; estacionamento
   36890 ;    4 ;     119 ; estacionamento
   37200 ;    3 ;     119 ; saida
   37235 ;    4 ;     127 ; estacionamento
   37254 ;    3 ;     161 ; saida
   37282 ;    2 ;     129 ; saida
   37315 ;    3 ;     141 ; estacionamento
   37664 ;    2 ;     127 ; saida
   37679 ;    1 ;     117 ; saida
   37700 ;    2 ;     118 ; estacionamento
   37878 ;    1 ;     118 ; saida
   37891 ;    2 ;     116 ; estacionamento
   38305 ;    1 ;     116 ; saida
   38368 ;    0 ;     141 ; saida
   38611 ;    1 ;     106 ; estacionamento
   38661 ;    2 ;     110 ; estacionamento
   38950 ;    1 ;     110 ; saida
   38989 ;    2 ;     104 ; estacionamento
   39072 ;    1 ;     106 ; saida
   39102 ;    2 ;     144 ; estacionamento
   39182 ;    1 ;     104 ; saida
   39216 ;    2 ;     148 ; estacionamento
   39417 ;    1 ;     144 ; saida
   39449 ;    2 ;     131 ; estacionamento
   39486 ;    1 ;     148 ; saida
   39719 ;    0 ;     131 ; saida
   40537 ;    1 ;     187 ; estacionamento
   40880 ;    0 ;     187 ; saida
   40994 ;    1 ;     189 ; estacionamento
   41242 ;    0 ;     189 ; saida
   41454 ;    1 ;     204 ; estacionamento
   41902 ;    2 ;     205 ; estacionamento
   42020 ;    1 ;     205 ; saida
   42063 ;    2 ;     252 ; estacionamento
   42368 ;    1 ;     252 ; saida
   42456 ;    2 ;     190 ; estacionamento
   42488 ;    1 ;     204 ; saida
   42518 ;    2 ;     227 ; estacionamento
   42861 ;    1 ;     227 ; saida
   42891 ;    0 ;     190 ; saida
   42924 ;    1 ;     196 ; estacionamento
   43023 ;    2 ;     224 ; estacionamento
   43159 ;    1 ;     196 ; saida
   43191 ;    2 ;     229 ; estacionamento
   43252 ;    1 ;     224 ; saida
   43375 ;    0 ;     229 ; saida
   43404 ;    1 ;     231 ; estacionamento
   43541 ;    2 ;     219 ; estacionamento
   43571 ;    3 ;     200 ; estacionamento
   43840 ;    2 ;     200 ; saida
   43852 ;    1 ;     219 ; saida
   43865 ;    2 ;     182 ; estacionamento
   43909 ;    3 ;     212 ; estacionamento
   43995 ;    2 ;     212 ; saida
   44024 ;    1 ;     231 ; saida
   44066 ;    2 ;     125 ; estacionamento
   44308 ;    1 ;     182 ; saida
   44292 ;    2 ;     260 ; estacionamento
   44439 ;    3 ;     302 ; estacionamento
   44521 ;    2 ;     260 ; saida
   44573 ;    3 ;     263 ; estacionamento
   44815 ;    2 ;     263 ; saida
   44850 ;    3 ;     264 ; estacionamento
   44890 ;    2 ;     302 ; saida
   44934 ;    1 ;     125 ; saida
   45034 ;    2 ;     111 ; estacionamento
   45238 ;    1 ;     264 ; saida
   45302 ;    2 ;     266 ; estacionamento
   45476 ;    1 ;     111 ; saida
   45524 ;    2 ;     137 ; estacionamento
   45578 ;    3 ;     294 ; estacionamento
   45623 ;    2 ;     137 ; saida
   45657 ;    3 ;     139 ; estacionamento
   45981 ;    2 ;     294 ; saida
   46009 ;    1 ;     139 ; saida
   46032 ;    2 ;     108 ; estacionamento
   46080 ;    3 ;     134 ; estacionamento
   46205 ;    2 ;     134 ; saida
   46284 ;    3 ;     303 ; estacionamento
   46392 ;    2 ;     108 ; saida
   46416 ;    3 ;     297 ; estacionamento
   46480 ;    4 ;     243 ; estacionamento
   46712 ;    3 ;     303 ; saida
   46757 ;    4 ;     301 ; estacionamento
   46788 ;    5 ;     164 ; estacionamento
   46998 ;    4 ;     301 ; saida
   47040 ;    5 ;     163 ; estacionamento
   47154 ;    4 ;     163 ; saida
   47189 ;    5 ;     143 ; estacionamento
   47231 ;    4 ;     164 ; saida
   47270 ;    3 ;     243 ; saida
   47285 ;    4 ;     172 ; estacionamento
   47340 ;    3 ;     297 ; saida
   47369 ;    2 ;     266 ; saida
   47393 ;    3 ;      86 ; estacionamento
   47511 ;    2 ;     143 ; saida
   47570 ;    3 ;     132 ; estacionamento
   47649 ;    2 ;     132 ; saida
   47689 ;    3 ;     206 ; estacionamento
   47757 ;    2 ;      86 ; saida
   47796 ;    3 ;      87 ; estacionamento
   47855 ;    2 ;     206 ; saida
   47909 ;    3 ;     159 ; estacionamento
   48037 ;    2 ;     159 ; saida
   48105 ;    3 ;     156 ; estacionamento
   48188 ;    2 ;      87 ; saida
   48469 ;    1 ;     156 ; saida
   48558 ;    2 ;      81 ; estacionamento
   48620 ;    1 ;     172 ; saida
   48691 ;    2 ;     181 ; estacionamento
   49047 ;    1 ;     181 ; saida
   49101 ;    2 ;     228 ; estacionamento
   49253 ;    1 ;     228 ; saida
   49263 ;    0 ;      81 ; saida
   49471 ;    1 ;     197 ; estacionamento
   49570 ;    0 ;     197 ; saida
   49600 ;    1 ;     232 ; estacionamento
   49815 ;    0 ;     232 ; saida
   49846 ;    1 ;     168 ; estacionamento
   50017 ;    0 ;     168 ; saida
   50048 ;    1 ;     317 ; estacionamento
   50184 ;    0 ;     317 ; saida
   50215 ;    1 ;     234 ; estacionamento
   50546 ;    0 ;     234 ; saida
   50639 ;    1 ;     123 ; estacionamento
   50944 ;    0 ;     123 ; saida
   51163 ;    1 ;     171 ; estacionamento
   51406 ;    0 ;     171 ; saida
   51749 ;    1 ;      84 ; estacionamento
   52171 ;    0 ;      84 ; saida
   52226 ;    1 ;     115 ; estacionamento
   52532 ;    0 ;     115 ; saida
   52577 ;    1 ;     120 ; estacionamento
   52971 ;    0 ;     120 ; saida
   53026 ;    1 ;     173 ; estacionamento
   53262 ;    2 ;      83 ; estacionamento
   53316 ;    1 ;     173 ; saida
   53518 ;    0 ;      83 ; saida
   53544 ;    1 ;     133 ; estacionamento
   53658 ;    0 ;     133 ; saida
   53688 ;    1 ;     142 ; estacionamento
   53869 ;    0 ;     142 ; saida
   53916 ;    1 ;     230 ; estacionamento
   54159 ;    0 ;     230 ; saida
   54215 ;    1 ;     242 ; estacionamento
   54493 ;    2 ;     122 ; estacionamento
   54576 ;    1 ;     242 ; saida
   54601 ;    2 ;     216 ; estacionamento
   54772 ;    1 ;     122 ; saida
   54795 ;    2 ;     126 ; estacionamento
   54900 ;    1 ;     216 ; saida
   54922 ;    2 ;      82 ; estacionamento
   54943 ;    1 ;     126 ; saida
   54962 ;    2 ;     150 ; estacionamento
   54984 ;    1 ;      82 ; saida
   55008 ;    2 ;     153 ; estacionamento
   55188 ;    1 ;     153 ; saida
   55210 ;    2 ;     217 ; estacionamento
   55386 ;    1 ;     150 ; saida
   55431 ;    0 ;     217 ; saida
   55457 ;    1 ;     307 ; estacionamento
   55756 ;    0 ;     307 ; saida
   55780 ;    1 ;     311 ; estacionamento
   55844 ;    2 ;     215 ; estacionamento
   56016 ;    1 ;     215 ; saida
   56092 ;    2 ;     211 ; estacionamento
   56161 ;    1 ;     311 ; saida
   56285 ;    2 ;     184 ; estacionamento
   56340 ;    3 ;     186 ; estacionamento
   56494 ;    2 ;     186 ; saida
   56538 ;    1 ;     184 ; saida
   56555 ;    2 ;     155 ; estacionamento
   56662 ;    1 ;     211 ; saida
   56687 ;    2 ;     207 ; estacionamento
   56751 ;    1 ;     207 ; saida
   56859 ;    0 ;     155 ; saida
   56879 ;    1 ;     175 ; estacionamento
   57211 ;    0 ;     175 ; saida
   57324 ;    1 ;     306 ; estacionamento
   57758 ;    0 ;     306 ; saida
   57777 ;    1 ;     221 ; estacionamento
   57938 ;    0 ;     221 ; saida
   57973 ;    1 ;     208 ; estacionamento
   58036 ;    0 ;     208 ; saida
   60174 ;    1 ;     286 ; estacionamento
   60529 ;    0 ;     286 ; saida
   60608 ;    1 ;     176 ; estacionamento
   61141 ;    0 ;     176 ; saida
   61164 ;    1 ;     292 ; estacionamento
   61424 ;    0 ;     292 ; saida
   61451 ;    1 ;     214 ; estacionamento
   61713 ;    0 ;     214 ; saida
   61740 ;    1 ;     279 ; estacionamento
   62078 ;    0 ;     279 ; saida
   62098 ;    1 ;      79 ; estacionamento
   62158 ;    0 ;      79 ; saida
   62176 ;    1 ;     218 ; estacionamento
   62398 ;    0 ;     218 ; saida
   62441 ;    1 ;     225 ; estacionamento
   62805 ;    0 ;     225 ; saida
   62870 ;    1 ;     226 ; estacionamento
   62969 ;    0 ;     226 ; saida
   63026 ;    1 ;     240 ; estacionamento
   63168 ;    2 ;     344 ; estacionamento
   63371 ;    1 ;     240 ; saida
   63421 ;    2 ;     241 ; estacionamento
   63477 ;    3 ;     236 ; estacionamento
   63620 ;    2 ;     236 ; saida
   63648 ;    1 ;     241 ; saida
   63680 ;    2 ;     237 ; estacionamento
   64025 ;    1 ;     237 ; saida
   64044 ;    2 ;     239 ; estacionamento
   64098 ;    3 ;     253 ; estacionamento
   64400 ;    2 ;     253 ; saida
   64422 ;    3 ;     256 ; estacionamento
   64843 ;    2 ;     256 ; saida
   64866 ;    3 ;     257 ; estacionamento
   65209 ;    2 ;     257 ; saida
   65230 ;    3 ;     258 ; estacionamento
   65527 ;    2 ;     258 ; saida
   65547 ;    3 ;     262 ; estacionamento
   65883 ;    2 ;     262 ; saida
   65904 ;    3 ;     268 ; estacionamento
   66042 ;    2 ;     268 ; saida
   66063 ;    3 ;     290 ; estacionamento
   66239 ;    2 ;     290 ; saida
   66254 ;    3 ;     269 ; estacionamento
   66671 ;    2 ;     269 ; saida
   66703 ;    3 ;     281 ; estacionamento
   66841 ;    2 ;     281 ; saida
   66852 ;    1 ;     344 ; saida
   66875 ;    2 ;     271 ; estacionamento
   66954 ;    1 ;     271 ; saida
   66969 ;    2 ;     282 ; estacionamento
   67029 ;    1 ;     282 ; saida
   67047 ;    2 ;     287 ; estacionamento
   67144 ;    1 ;     287 ; saida
   67161 ;    2 ;     273 ; estacionamento
   67421 ;    1 ;     273 ; saida
   67437 ;    2 ;     320 ; estacionamento
   67491 ;    1 ;     320 ; saida
   67505 ;    2 ;     274 ; estacionamento
   67639 ;    1 ;     274 ; saida
   67655 ;    2 ;     327 ; estacionamento
   67829 ;    1 ;     327 ; saida
   67841 ;    2 ;     333 ; estacionamento
   68014 ;    1 ;     333 ; saida
   68028 ;    2 ;     248 ; estacionamento
   68241 ;    1 ;     248 ; saida
   68257 ;    2 ;     335 ; estacionamento
   68512 ;    1 ;     335 ; saida
   68524 ;    2 ;     249 ; estacionamento
   68657 ;    1 ;     249 ; saida
   68671 ;    2 ;     337 ; estacionamento
   68809 ;    1 ;     337 ; saida
   68821 ;    2 ;     235 ; estacionamento
   69114 ;    1 ;     235 ; saida
   69132 ;    2 ;     349 ; estacionamento
   69349 ;    1 ;     349 ; saida
   69401 ;    2 ;     313 ; estacionamento
   69528 ;    3 ;     289 ; estacionamento
   69654 ;    2 ;     289 ; saida
   69677 ;    1 ;     313 ; saida
   69691 ;    2 ;     322 ; estacionamento
   69723 ;    3 ;     369 ; estacionamento
   69815 ;    2 ;     322 ; saida
   69842 ;    3 ;     368 ; estacionamento
   69963 ;    2 ;     369 ; saida
   69998 ;    3 ;     371 ; estacionamento
   70304 ;    2 ;     368 ; saida
   70356 ;    3 ;     330 ; estacionamento
   70439 ;    2 ;     371 ; saida
   70489 ;    3 ;     379 ; estacionamento
   70609 ;    2 ;     330 ; saida
   70657 ;    3 ;     332 ; estacionamento
   70807 ;    2 ;     379 ; saida
   70831 ;    1 ;     332 ; saida
   70860 ;    2 ;     383 ; estacionamento
   70906 ;    3 ;     246 ; estacionamento
   71041 ;    2 ;     246 ; saida
   71085 ;    3 ;     298 ; estacionamento
   71160 ;    2 ;     383 ; saida
   71177 ;    3 ;     177 ; estacionamento
   71298 ;    2 ;     298 ; saida
   71347 ;    3 ;     316 ; estacionamento
   71434 ;    2 ;     177 ; saida
   71453 ;    3 ;     188 ; estacionamento
   71565 ;    4 ;     191 ; estacionamento
   71681 ;    3 ;     316 ; saida
   71731 ;    4 ;     308 ; estacionamento
   71899 ;    3 ;     188 ; saida
   71935 ;    4 ;     384 ; estacionamento
   72011 ;    5 ;     346 ; estacionamento
   72391 ;    4 ;     346 ; saida
   72405 ;    3 ;     191 ; saida
   72431 ;    4 ;     310 ; estacionamento
   72733 ;    3 ;     310 ; saida
   72751 ;    4 ;     277 ; estacionamento
   72929 ;    3 ;     277 ; saida
   72946 ;    4 ;     424 ; estacionamento
   72970 ;    5 ;     388 ; estacionamento
   73029 ;    6 ;     431 ; estacionamento
   73271 ;    5 ;     388 ; saida
   73301 ;    6 ;     350 ; estacionamento
   73343 ;    5 ;     431 ; saida
   73379 ;    6 ;     435 ; estacionamento
   73448 ;    5 ;     350 ; saida
   73473 ;    6 ;     393 ; estacionamento
   73504 ;    7 ;     438 ; estacionamento
   73782 ;    6 ;     438 ; saida
   73798 ;    7 ;     394 ; estacionamento
   73825 ;    8 ;     442 ; estacionamento
   73911 ;    7 ;     394 ; saida
   73940 ;    8 ;     408 ; estacionamento
   73981 ;    7 ;     442 ; saida
   74014 ;    8 ;     445 ; estacionamento
   74053 ;    7 ;     408 ; saida
   74074 ;    6 ;     393 ; saida
   74098 ;    7 ;     409 ; estacionamento
   74328 ;    6 ;     445 ; saida
   74359 ;    7 ;     406 ; estacionamento
   74489 ;    6 ;     409 ; saida
   74520 ;    7 ;     411 ; estacionamento
   74754 ;    6 ;     406 ; saida
   74788 ;    7 ;     407 ; estacionamento
   74858 ;    6 ;     407 ; saida
   74871 ;    5 ;     411 ; saida
   74901 ;    6 ;     413 ; estacionamento
   74947 ;    7 ;     455 ; estacionamento
   75101 ;    6 ;     455 ; saida
   75134 ;    7 ;     476 ; estacionamento
   75247 ;    6 ;     413 ; saida
   75278 ;    7 ;     417 ; estacionamento
   75566 ;    6 ;     476 ; saida
   75599 ;    7 ;     482 ; estacionamento
   75634 ;    6 ;     417 ; saida
   75667 ;    7 ;     419 ; estacionamento
   75832 ;    6 ;     482 ; saida
   75866 ;    7 ;     486 ; estacionamento
   76094 ;    6 ;     419 ; saida
   76126 ;    7 ;     422 ; estacionamento
   76181 ;    6 ;     486 ; saida
   76216 ;    7 ;     465 ; estacionamento
   76319 ;    6 ;     422 ; saida
   76353 ;    5 ;     239 ; saida
   76368 ;    4 ;     465 ; saida
   76384 ;    3 ;     384 ; saida
   76401 ;    4 ;     467 ; estacionamento
   76634 ;    3 ;     467 ; saida
   76667 ;    4 ;     470 ; estacionamento
   76713 ;    3 ;     435 ; saida
   76791 ;    2 ;     470 ; saida
   76841 ;    3 ;     498 ; estacionamento
   77277 ;    2 ;     498 ; saida
   77492 ;    3 ;     356 ; estacionamento
   77677 ;    2 ;     356 ; saida
   77722 ;    3 ;     357 ; estacionamento
   77849 ;    4 ;     193 ; estacionamento
   77928 ;    3 ;     193 ; saida
   77956 ;    4 ;     192 ; estacionamento
   78041 ;    3 ;     357 ; saida
   78058 ;    4 ;     363 ; estacionamento
   78314 ;    3 ;     363 ; saida
   79383 ;    2 ;     192 ; saida
   82525 ;    3 ;     500 ; estacionamento
   82753 ;    2 ;     500 ; saida
   82791 ;    3 ;     501 ; estacionamento
   82905 ;    2 ;     501 ; saida
   82944 ;    3 ;     505 ; estacionamento
   83061 ;    2 ;     505 ; saida
   83101 ;    1 ;     424 ; saida
   83154 ;    0 ;     308 ; saida
   83219 ;    1 ;     238 ; estacionamento
   83347 ;    0 ;     238 ; saida
   83397 ;    1 ;     255 ; estacionamento
   83633 ;    0 ;     255 ; saida
   83673 ;    1 ;     265 ; estacionamento
   83989 ;    0 ;     265 ; saida
   84033 ;    1 ;     270 ; estacionamento
   84317 ;    0 ;     270 ; saida
   84402 ;    1 ;     272 ; estacionamento
   84639 ;    0 ;     272 ; saida
   84674 ;    1 ;     194 ; estacionamento
   84947 ;    0 ;     194 ; saida
   84983 ;    1 ;     178 ; estacionamento
   85136 ;    0 ;     178 ; saida
   87785 ;    1 ;     375 ; estacionamento
   88240 ;    0 ;     375 ; saida
   88284 ;    1 ;     372 ; estacionamento
   88585 ;    0 ;     372 ; saida
   89588 ;    1 ;     364 ; estacionamento
   89772 ;    0 ;     364 ; saida
   90912 ;    1 ;     195 ; estacionamento
   91051 ;    0 ;     195 ; saida
   91122 ;    1 ;     179 ; estacionamento
   91198 ;    0 ;     179 ; saida
   91241 ;    1 ;     180 ; estacionamento
   91391 ;    0 ;     180 ; saida
   91423 ;    1 ;     198 ; estacionamento
   91649 ;    0 ;     198 ; saida
   91687 ;    1 ;     199 ; estacionamento
   91912 ;    0 ;     199 ; saida
   91966 ;    1 ;     418 ; estacionamento
   92033 ;    2 ;     183 ; estacionamento
   92083 ;    1 ;     418 ; saida
   92143 ;    2 ;     421 ; estacionamento
   92309 ;    1 ;     421 ; saida
   92379 ;    2 ;     428 ; estacionamento
   92485 ;    1 ;     183 ; saida
   92518 ;    0 ;     428 ; saida
   92570 ;    1 ;     185 ; estacionamento
   92629 ;    2 ;     299 ; estacionamento
   92967 ;    1 ;     185 ; saida
   93032 ;    2 ;     209 ; estacionamento
   93085 ;    3 ;     295 ; estacionamento
   93208 ;    2 ;     295 ; saida
   93242 ;    3 ;     251 ; estacionamento
   93314 ;    2 ;     251 ; saida
   93351 ;    3 ;     293 ; estacionamento
   93619 ;    2 ;     293 ; saida
   93652 ;    3 ;     259 ; estacionamento
   93725 ;    4 ;     202 ; estacionamento
