t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
   15911 ;      98 ;    S   ;        360 ;   5668 ; saida
   17132 ;      63 ;    E   ;        360 ;      ? ; entrada
   17162 ;      63 ;    E   ;        360 ;  12025 ; saida
   17435 ;      19 ;    O   ;         80 ;      ? ; entrada
   17458 ;      19 ;    O   ;         80 ;  15366 ; saida
   17554 ;      22 ;    O   ;        280 ;      ? ; entrada
   17576 ;      22 ;    O   ;        280 ;  15447 ; saida
   17694 ;      54 ;    E   ;        280 ;      ? ; entrada
   17717 ;      54 ;    E   ;        280 ;  13192 ; saida
   17790 ;      30 ;    N   ;        160 ;      ? ; entrada
   17812 ;      30 ;    N   ;        160 ;   9800 ; saida
   17889 ;      56 ;    N   ;        320 ;      ? ; entrada
   17896 ;      34 ;    O   ;        320 ;      ? ; entrada
   17929 ;      56 ;    N   ;        320 ;  13270 ; saida
   17938 ;      34 ;    O   ;        320 ;  14855 ; saida
   18082 ;      52 ;    O   ;        360 ;      ? ; entrada
   18120 ;      52 ;    O   ;        360 ;  13825 ; saida
   18219 ;     106 ;    S   ;         40 ;      ? ; entrada
   18240 ;     106 ;    S   ;         40 ;   5124 ; saida
   18319 ;      16 ;    O   ;        400 ;      ? ; entrada
   18340 ;      16 ;    O   ;        400 ;  16023 ; saida
   18713 ;      21 ;    O   ;         40 ;      ? ; entrada
   18741 ;      21 ;    O   ;         40 ;  15977 ; saida
   18870 ;      37 ;    E   ;         40 ;      ? ; entrada
   18884 ;      37 ;    E   ;         40 ;  11576 ; saida
   19276 ;      42 ;    E   ;        360 ;      ? ; entrada
   19295 ;      42 ;    E   ;        360 ;  11193 ; saida
   19333 ;      40 ;    N   ;        240 ;      ? ; entrada
   19343 ;      40 ;    N   ;        240 ;  11311 ; saida
   19367 ;      57 ;    O   ;        120 ;      ? ; entrada
   19379 ;      57 ;    O   ;        120 ;  14451 ; saida
   19411 ;      53 ;    O   ;        280 ;      ? ; entrada
   19421 ;      53 ;    O   ;        280 ;  14980 ; saida
   19454 ;      72 ;    E   ;        200 ;      ? ; entrada
   19466 ;      72 ;    E   ;        200 ;  13378 ; saida
   19508 ;      74 ;    O   ;         40 ;      ? ; entrada
   19519 ;      74 ;    O   ;         40 ;  13030 ; saida
   19571 ;      77 ;    O   ;        240 ;      ? ; entrada
   19571 ;      58 ;    O   ;         40 ;      ? ; entrada
   19602 ;      77 ;    O   ;        240 ;   9941 ; saida
   19601 ;      58 ;    O   ;         40 ;   9576 ; saida
   19705 ;      43 ;    E   ;        240 ;      ? ; entrada
   19734 ;      43 ;    E   ;        240 ;  11425 ; saida
   19867 ;      89 ;    S   ;        160 ;      ? ; entrada
   19884 ;      89 ;    S   ;        160 ;   6774 ; saida
   19947 ;      27 ;    O   ;         40 ;      ? ; entrada
   19961 ;      27 ;    O   ;         40 ;  11631 ; saida
   20013 ;      46 ;    N   ;        360 ;      ? ; entrada
   20034 ;      46 ;    N   ;        360 ;  11632 ; saida
   20029 ;      44 ;    E   ;         40 ;      ? ; entrada
   20053 ;      44 ;    E   ;         40 ;  11460 ; saida
   20126 ;      47 ;    E   ;        120 ;      ? ; entrada
   20138 ;      81 ;    O   ;        160 ;      ? ; entrada
   20209 ;      66 ;    N   ;        240 ;      ? ; entrada
   20229 ;      66 ;    N   ;        240 ;  11148 ; saida
   20233 ;      81 ;    O   ;        160 ;  10204 ; saida
   20304 ;      88 ;    N   ;        360 ;      ? ; entrada
   20317 ;      88 ;    N   ;        360 ;  11184 ; saida
   20349 ;      24 ;    N   ;        320 ;      ? ; entrada
   20360 ;      24 ;    N   ;        320 ;  11047 ; saida
   20386 ;      93 ;    S   ;        280 ;      ? ; entrada
   20402 ;      93 ;    S   ;        280 ;   7288 ; saida
   20149 ;      47 ;    E   ;        120 ;  11444 ; saida
   19824 ;      41 ;    N   ;        240 ;      ? ; entrada
   20462 ;      41 ;    N   ;        240 ;  12396 ; saida
   20508 ;      99 ;    N   ;         80 ;      ? ; entrada
   20538 ;      99 ;    N   ;         80 ;   9954 ; saida
   20635 ;      28 ;    O   ;        400 ;      ? ; entrada
   20659 ;      28 ;    O   ;        400 ;  13605 ; saida
   20709 ;     116 ;    S   ;        200 ;      ? ; entrada
   20721 ;     116 ;    S   ;        200 ;   7699 ; saida
   20749 ;     115 ;    N   ;        240 ;      ? ; entrada
   20824 ;     115 ;    N   ;        240 ;   7866 ; saida
   21209 ;     124 ;    S   ;        280 ;      ? ; entrada
   21239 ;     124 ;    S   ;        280 ;   5167 ; saida
   20175 ;      80 ;    O   ;        160 ;      ? ; entrada
   21308 ;      80 ;    O   ;        160 ;  11337 ; saida
   21330 ;     136 ;    N   ;        160 ;      ? ; entrada
   21353 ;     136 ;    N   ;        160 ;   4759 ; saida
   20197 ;      49 ;    N   ;        400 ;      ? ; entrada
   21415 ;      49 ;    N   ;        400 ;  12850 ; saida
   21451 ;      73 ;    E   ;        120 ;      ? ; entrada
   21463 ;      73 ;    E   ;        120 ;  12479 ; saida
   21489 ;      64 ;    E   ;        280 ;      ? ; entrada
   21501 ;      64 ;    E   ;        280 ;  12604 ; saida
   21515 ;     135 ;    N   ;        200 ;      ? ; entrada
   21540 ;     135 ;    N   ;        200 ;   5125 ; saida
   21551 ;     147 ;    S   ;        360 ;      ? ; entrada
   21573 ;     147 ;    S   ;        360 ;   4964 ; saida
   21602 ;     152 ;    S   ;        360 ;      ? ; entrada
   21620 ;     146 ;    S   ;        120 ;      ? ; entrada
   21625 ;     167 ;    N   ;        160 ;      ? ; entrada
   21641 ;     146 ;    S   ;        120 ;    728 ; saida
   21650 ;     149 ;    N   ;        360 ;      ? ; entrada
   21672 ;     149 ;    N   ;        360 ;   4867 ; saida
   21697 ;     118 ;    N   ;        320 ;      ? ; entrada
   21724 ;     118 ;    N   ;        320 ;   5336 ; saida
   21723 ;     113 ;    N   ;        240 ;      ? ; entrada
   21746 ;     113 ;    N   ;        240 ;   5472 ; saida
   21783 ;     108 ;    N   ;        360 ;      ? ; entrada
   21794 ;     108 ;    N   ;        360 ;   5917 ; saida
   21816 ;     110 ;    S   ;        160 ;      ? ; entrada
   21827 ;     110 ;    S   ;        160 ;   5688 ; saida
   21849 ;     160 ;    S   ;         80 ;      ? ; entrada
   21865 ;     160 ;    S   ;         80 ;   3654 ; saida
   21878 ;     152 ;    S   ;        360 ;   1453 ; saida
   21914 ;     156 ;    S   ;        120 ;      ? ; entrada
   21930 ;     156 ;    S   ;        120 ;   1096 ; saida
   21955 ;     157 ;    N   ;        240 ;      ? ; entrada
   21969 ;      86 ;    O   ;        120 ;      ? ; entrada
   21981 ;      86 ;    O   ;        120 ;  11632 ; saida
   22030 ;     102 ;    N   ;        360 ;      ? ; entrada
   22069 ;      90 ;    N   ;        240 ;      ? ; entrada
   22083 ;     102 ;    N   ;        360 ;  11087 ; saida
   22110 ;     107 ;    N   ;        240 ;      ? ; entrada
   22121 ;     107 ;    N   ;        240 ;  10873 ; saida
   22158 ;     109 ;    N   ;        240 ;      ? ; entrada
   22185 ;     109 ;    N   ;        240 ;   7031 ; saida
   22241 ;     121 ;    N   ;        320 ;      ? ; entrada
   22262 ;     121 ;    N   ;        320 ;   7156 ; saida
   22274 ;      90 ;    N   ;        240 ;   9194 ; saida
   22306 ;     159 ;    S   ;         40 ;      ? ; entrada
   22329 ;     159 ;    S   ;         40 ;   4180 ; saida
   22411 ;     165 ;    S   ;        160 ;      ? ; entrada
   22431 ;     165 ;    S   ;        160 ;   3540 ; saida
   22484 ;     166 ;    S   ;        280 ;      ? ; entrada
   22967 ;     137 ;    N   ;        200 ;      ? ; entrada
   22990 ;     137 ;    N   ;        200 ;   6364 ; saida
   23091 ;      83 ;    N   ;        280 ;      ? ; entrada
   23110 ;      83 ;    N   ;        280 ;  13105 ; saida
   23184 ;     129 ;    S   ;        320 ;      ? ; entrada
   23191 ;      75 ;    N   ;        200 ;      ? ; entrada
   23219 ;     129 ;    S   ;        320 ;   7478 ; saida
   23223 ;     133 ;    S   ;        120 ;      ? ; entrada
   23227 ;      75 ;    N   ;        200 ;  13785 ; saida
   23263 ;     133 ;    S   ;        120 ;   6888 ; saida
   23345 ;     125 ;    S   ;        200 ;      ? ; entrada
   23388 ;     125 ;    S   ;        200 ;   7762 ; saida
   23424 ;      65 ;    E   ;        160 ;      ? ; entrada
   23452 ;     157 ;    N   ;        240 ;   2703 ; saida
   23466 ;      65 ;    E   ;        160 ;  14369 ; saida
   23511 ;     128 ;    S   ;        240 ;      ? ; entrada
   23551 ;     128 ;    S   ;        240 ;   8185 ; saida
   23599 ;     145 ;    N   ;        400 ;      ? ; entrada
   23608 ;     166 ;    S   ;        280 ;   4805 ; saida
   23637 ;     145 ;    N   ;        400 ;   3024 ; saida
   23688 ;     130 ;    N   ;        360 ;      ? ; entrada
   23735 ;     130 ;    N   ;        360 ;   7954 ; saida
   23740 ;     167 ;    N   ;        160 ;   4809 ; saida
   23758 ;     171 ;    N   ;        280 ;      ? ; entrada
   23795 ;     171 ;    N   ;        280 ;   4808 ; saida
   23813 ;      95 ;    S   ;        320 ;      ? ; entrada
   23816 ;     153 ;    N   ;        280 ;      ? ; entrada
   23833 ;      23 ;    N   ;        120 ;      ? ; entrada
   23854 ;      95 ;    S   ;        320 ;  10726 ; saida
   23858 ;     153 ;    N   ;        280 ;   3275 ; saida
   23881 ;      23 ;    N   ;        120 ;  14242 ; saida
   23949 ;      60 ;    N   ;        120 ;      ? ; entrada
   23985 ;      60 ;    N   ;        120 ;   9502 ; saida
   24021 ;     169 ;    N   ;        320 ;      ? ; entrada
   24058 ;     154 ;    N   ;         80 ;      ? ; entrada
   24062 ;     169 ;    N   ;        320 ;   5255 ; saida
   24080 ;      59 ;    N   ;         80 ;      ? ; entrada
   24098 ;     154 ;    N   ;         80 ;   3285 ; saida
   24127 ;      59 ;    N   ;         80 ;   9698 ; saida
   24162 ;     114 ;    S   ;         40 ;      ? ; entrada
   24194 ;     155 ;    N   ;        160 ;      ? ; entrada
   24204 ;     114 ;    S   ;         40 ;   7661 ; saida
   24236 ;     155 ;    N   ;        160 ;   3479 ; saida
   24246 ;     134 ;    S   ;        280 ;      ? ; entrada
   24268 ;     117 ;    S   ;        240 ;      ? ; entrada
   24276 ;     134 ;    S   ;        280 ;   8005 ; saida
   24290 ;     117 ;    S   ;        240 ;   7891 ; saida
   24344 ;     120 ;    N   ;        360 ;      ? ; entrada
   24378 ;     150 ;    S   ;         80 ;      ? ; entrada
   24385 ;     120 ;    N   ;        360 ;   7959 ; saida
   24426 ;     150 ;    S   ;         80 ;   7234 ; saida
   24500 ;     111 ;    S   ;         80 ;      ? ; entrada
   24537 ;     111 ;    S   ;         80 ;   8243 ; saida
   24597 ;     168 ;    N   ;        360 ;      ? ; entrada
   24617 ;     168 ;    N   ;        360 ;   5838 ; saida
   34621 ;     176 ;    N   ;         40 ;      ? ; entrada
   34666 ;     176 ;    N   ;         40 ;  10031 ; saida
   34728 ;     173 ;    N   ;        200 ;      ? ; entrada
   34602 ;     161 ;    N   ;        320 ;      ? ; entrada
   34761 ;     161 ;    N   ;        320 ;  14002 ; saida
   34809 ;     197 ;    N   ;        280 ;      ? ; entrada
   34821 ;     197 ;    N   ;        280 ;   9105 ; saida
   34853 ;     173 ;    N   ;        200 ;  10735 ; saida
   34888 ;     142 ;    S   ;        280 ;      ? ; entrada
   34904 ;     175 ;    N   ;         80 ;      ? ; entrada
   34922 ;     175 ;    N   ;         80 ;  10471 ; saida
   34992 ;     172 ;    N   ;        320 ;      ? ; entrada
   35013 ;     172 ;    N   ;        320 ;  10910 ; saida
   35057 ;     178 ;    N   ;         80 ;      ? ; entrada
   35074 ;     178 ;    N   ;         80 ;  10367 ; saida
   35122 ;      87 ;    E   ;        160 ;      ? ; entrada
   35153 ;      87 ;    E   ;        160 ;  24774 ; saida
   35208 ;     208 ;    N   ;        160 ;      ? ; entrada
   35228 ;     208 ;    N   ;        160 ;   8744 ; saida
   35292 ;      61 ;    E   ;        200 ;      ? ; entrada
   35309 ;      61 ;    E   ;        200 ;  20861 ; saida
   35362 ;      92 ;    E   ;         80 ;      ? ; entrada
   35376 ;     180 ;    N   ;        160 ;      ? ; entrada
   35396 ;      92 ;    E   ;         80 ;  22100 ; saida
   35409 ;     180 ;    N   ;        160 ;  11547 ; saida
   35465 ;     205 ;    N   ;        160 ;      ? ; entrada
   35480 ;     205 ;    N   ;        160 ;   9188 ; saida
   35507 ;     200 ;    N   ;        160 ;      ? ; entrada
   35522 ;     200 ;    N   ;        160 ;   9500 ; saida
   35548 ;     186 ;    N   ;        120 ;      ? ; entrada
   35564 ;     186 ;    N   ;        120 ;  10248 ; saida
   35585 ;     190 ;    N   ;         40 ;      ? ; entrada
   35610 ;     190 ;    N   ;         40 ;  10101 ; saida
   35639 ;     198 ;    N   ;        240 ;      ? ; entrada
   35658 ;     101 ;    E   ;        200 ;      ? ; entrada
   35674 ;     101 ;    E   ;        200 ;  25070 ; saida
   35703 ;     201 ;    N   ;         80 ;      ? ; entrada
   35714 ;     100 ;    E   ;        320 ;      ? ; entrada
   35731 ;     201 ;    N   ;         80 ;   9594 ; saida
   35759 ;     198 ;    N   ;        240 ;   9866 ; saida
   35807 ;     131 ;    E   ;         40 ;      ? ; entrada
   35825 ;     131 ;    E   ;         40 ;  19653 ; saida
   35854 ;      62 ;    E   ;        280 ;      ? ; entrada
   35870 ;      62 ;    E   ;        280 ;  21443 ; saida
   35894 ;     126 ;    E   ;        280 ;      ? ; entrada
   35909 ;     126 ;    E   ;        280 ;  20278 ; saida
   35944 ;     100 ;    E   ;        320 ;  25523 ; saida
   35996 ;     104 ;    E   ;        120 ;      ? ; entrada
   36086 ;     104 ;    E   ;        120 ;  20088 ; saida
   36140 ;     142 ;    S   ;        280 ;  15292 ; saida
   36281 ;     123 ;    E   ;        120 ;      ? ; entrada
   36329 ;     123 ;    E   ;        120 ;  20164 ; saida
   36942 ;      85 ;    E   ;        360 ;      ? ; entrada
   36975 ;      85 ;    E   ;        360 ;  26925 ; saida
   37477 ;      84 ;    E   ;        160 ;      ? ; entrada
   37513 ;      84 ;    E   ;        160 ;  27327 ; saida
   38213 ;     140 ;    S   ;        120 ;      ? ; entrada
   38254 ;     140 ;    S   ;        120 ;  17199 ; saida
   38249 ;     132 ;    E   ;        200 ;      ? ; entrada
   38307 ;     132 ;    E   ;        200 ;  22088 ; saida
   38350 ;     209 ;    N   ;        160 ;      ? ; entrada
   38373 ;     209 ;    N   ;        160 ;  11824 ; saida
   38422 ;     119 ;    O   ;        160 ;      ? ; entrada
   38452 ;     119 ;    O   ;        160 ;  25365 ; saida
   39121 ;     196 ;    S   ;        320 ;      ? ; entrada
   39170 ;     196 ;    S   ;        320 ;  13546 ; saida
   39443 ;     195 ;    S   ;         40 ;      ? ; entrada
   39474 ;     195 ;    S   ;         40 ;  13688 ; saida
   39521 ;     199 ;    S   ;        160 ;      ? ; entrada
   39541 ;     199 ;    S   ;        160 ;  13574 ; saida
   39580 ;     194 ;    S   ;        240 ;      ? ; entrada
   39600 ;     122 ;    E   ;        280 ;      ? ; entrada
   39615 ;     194 ;    S   ;        240 ;  14081 ; saida
   39634 ;     122 ;    E   ;        280 ;  23221 ; saida
   39702 ;     211 ;    N   ;        160 ;      ? ; entrada
   39714 ;     211 ;    N   ;        160 ;  13013 ; saida
   39745 ;      91 ;    O   ;        280 ;      ? ; entrada
   39760 ;      91 ;    O   ;        280 ;  26696 ; saida
   39784 ;      97 ;    E   ;        360 ;      ? ; entrada
   39823 ;      97 ;    E   ;        360 ;  23327 ; saida
   40054 ;     218 ;    N   ;        280 ;      ? ; entrada
   40225 ;     193 ;    S   ;        280 ;      ? ; entrada
   42061 ;     218 ;    N   ;        280 ;  15000 ; saida
   42068 ;     193 ;    S   ;        280 ;  16659 ; saida
   40258 ;     112 ;    E   ;        360 ;      ? ; entrada
   42143 ;     112 ;    E   ;        360 ;  26050 ; saida
   40284 ;     188 ;    S   ;        400 ;      ? ; entrada
   42198 ;     188 ;    S   ;        400 ;  17100 ; saida
   40309 ;     179 ;    S   ;        360 ;      ? ; entrada
   42257 ;     179 ;    S   ;        360 ;  18724 ; saida
   40335 ;     184 ;    S   ;        200 ;      ? ; entrada
   40764 ;     229 ;    N   ;        160 ;      ? ; entrada
   42314 ;     184 ;    S   ;        200 ;  17316 ; saida
   42330 ;     229 ;    N   ;        160 ;  14473 ; saida
   40797 ;     204 ;    S   ;         40 ;      ? ; entrada
   42390 ;     204 ;    S   ;         40 ;  16014 ; saida
   40814 ;     148 ;    E   ;         40 ;      ? ; entrada
   42511 ;      67 ;    O   ;        320 ;      ? ; entrada
   42539 ;     148 ;    E   ;         40 ;  25502 ; saida
   40829 ;     215 ;    N   ;        280 ;      ? ; entrada
   41565 ;     213 ;    N   ;        160 ;      ? ; entrada
   42640 ;     215 ;    N   ;        280 ;  15801 ; saida
   42644 ;     213 ;    N   ;        160 ;  15774 ; saida
   42764 ;      67 ;    O   ;        320 ;  28305 ; saida
   42955 ;     103 ;    O   ;         80 ;      ? ; entrada
   43049 ;     103 ;    O   ;         80 ;  27087 ; saida
   43571 ;      94 ;    O   ;        200 ;      ? ; entrada
   43623 ;      94 ;    O   ;        200 ;  30394 ; saida
   43792 ;      96 ;    O   ;        160 ;      ? ; entrada
   43824 ;      96 ;    O   ;        160 ;  30516 ; saida
   43883 ;     127 ;    O   ;        200 ;      ? ; entrada
   43911 ;     127 ;    O   ;        200 ;  28131 ; saida
   43966 ;     210 ;    S   ;        160 ;      ? ; entrada
   43987 ;     210 ;    S   ;        160 ;  17380 ; saida
   44049 ;     212 ;    S   ;        400 ;      ? ; entrada
   44075 ;     212 ;    S   ;        400 ;  17552 ; saida
   44181 ;     230 ;    N   ;        360 ;      ? ; entrada
   44243 ;     230 ;    N   ;        360 ;  16520 ; saida
   45556 ;     144 ;    E   ;        320 ;      ? ; entrada
   45590 ;     144 ;    E   ;        320 ;  24851 ; saida
   45689 ;     203 ;    E   ;         80 ;      ? ; entrada
   45728 ;     203 ;    E   ;         80 ;  19428 ; saida
   45813 ;     206 ;    E   ;        280 ;      ? ; entrada
   45847 ;     206 ;    E   ;        280 ;  19567 ; saida
   45927 ;     220 ;    E   ;         80 ;      ? ; entrada
   45965 ;     220 ;    E   ;         80 ;  18607 ; saida
   46333 ;     139 ;    E   ;        120 ;      ? ; entrada
   46624 ;     143 ;    E   ;        240 ;      ? ; entrada
   46812 ;     151 ;    O   ;        400 ;      ? ; entrada
   46846 ;     151 ;    O   ;        400 ;  26307 ; saida
   47017 ;     191 ;    E   ;        160 ;      ? ; entrada
   47069 ;     191 ;    E   ;        160 ;  21617 ; saida
   47107 ;     268 ;    S   ;        200 ;      ? ; entrada
   47187 ;     268 ;    S   ;        200 ;  16751 ; saida
   47215 ;     183 ;    E   ;        240 ;      ? ; entrada
   47273 ;     183 ;    E   ;        240 ;  22412 ; saida
   47313 ;     174 ;    E   ;        360 ;      ? ; entrada
   47344 ;     174 ;    E   ;        360 ;  22882 ; saida
   47371 ;     263 ;    S   ;        200 ;      ? ; entrada
   47423 ;     263 ;    S   ;        200 ;  17369 ; saida
   47437 ;     181 ;    E   ;        240 ;      ? ; entrada
   47486 ;     181 ;    E   ;        240 ;  23580 ; saida
   47540 ;     141 ;    E   ;        280 ;      ? ; entrada
   47567 ;     141 ;    E   ;        280 ;  26700 ; saida
   47582 ;     232 ;    N   ;        160 ;      ? ; entrada
   47622 ;     232 ;    N   ;        160 ;  19593 ; saida
   47672 ;     235 ;    S   ;        360 ;      ? ; entrada
   47693 ;     235 ;    S   ;        360 ;  19600 ; saida
   47738 ;     158 ;    O   ;        360 ;      ? ; entrada
   47779 ;     158 ;    O   ;        360 ;  30032 ; saida
   47792 ;     105 ;    O   ;        120 ;      ? ; entrada
   47873 ;     272 ;    S   ;        240 ;      ? ; entrada
   47907 ;     272 ;    S   ;        240 ;  17256 ; saida
   47914 ;     221 ;    S   ;        160 ;      ? ; entrada
   47961 ;     221 ;    S   ;        160 ;  20622 ; saida
   47990 ;     105 ;    O   ;        120 ;  31922 ; saida
   48025 ;     164 ;    E   ;        280 ;      ? ; entrada
   48065 ;     164 ;    E   ;        280 ;  29310 ; saida
   48133 ;     163 ;    O   ;        280 ;      ? ; entrada
   48164 ;     163 ;    O   ;        280 ;  29592 ; saida
   48249 ;     170 ;    O   ;        240 ;      ? ; entrada
   48292 ;     170 ;    O   ;        240 ;  29320 ; saida
   48403 ;     143 ;    E   ;        240 ;  27535 ; saida
   48509 ;     177 ;    O   ;        240 ;      ? ; entrada
   48508 ;     139 ;    E   ;        120 ;  27428 ; saida
   49022 ;     177 ;    O   ;        240 ;  24519 ; saida
   49056 ;     226 ;    E   ;         40 ;      ? ; entrada
   49070 ;     226 ;    E   ;         40 ;  21313 ; saida
   51359 ;     216 ;    E   ;        240 ;      ? ; entrada
   51414 ;     216 ;    E   ;        240 ;  24479 ; saida
   51588 ;     214 ;    E   ;        240 ;      ? ; entrada
   51651 ;     214 ;    E   ;        240 ;  24800 ; saida
   51794 ;     217 ;    E   ;        240 ;      ? ; entrada
   51855 ;     217 ;    E   ;        240 ;  24854 ; saida
   51992 ;     138 ;    O   ;        360 ;      ? ; entrada
   52050 ;     138 ;    O   ;        360 ;  35502 ; saida
   52171 ;     225 ;    E   ;        280 ;      ? ; entrada
   52230 ;     225 ;    E   ;        280 ;  24735 ; saida
   52331 ;     219 ;    S   ;        120 ;      ? ; entrada
   52389 ;     219 ;    S   ;        120 ;  25109 ; saida
   52461 ;     162 ;    O   ;        240 ;      ? ; entrada
   52505 ;     162 ;    O   ;        240 ;  33048 ; saida
   52594 ;     231 ;    S   ;        120 ;      ? ; entrada
   52639 ;     234 ;    N   ;         40 ;      ? ; entrada
   52672 ;     231 ;    S   ;        120 ;  24576 ; saida
   52717 ;     234 ;    N   ;         40 ;  24330 ; saida
   52860 ;     239 ;    S   ;        400 ;      ? ; entrada
   52925 ;     239 ;    S   ;        400 ;  24603 ; saida
   53031 ;     243 ;    S   ;         40 ;      ? ; entrada
   53091 ;     243 ;    S   ;         40 ;  24208 ; saida
   53234 ;     249 ;    S   ;        360 ;      ? ; entrada
   53282 ;     249 ;    S   ;        360 ;  24308 ; saida
   53404 ;     227 ;    S   ;        400 ;      ? ; entrada
   53451 ;     227 ;    S   ;        400 ;  25979 ; saida
   53523 ;     253 ;    S   ;         40 ;      ? ; entrada
   53610 ;     253 ;    S   ;         40 ;  24000 ; saida
   54557 ;     228 ;    E   ;        240 ;      ? ; entrada
   54602 ;     228 ;    E   ;        240 ;  26866 ; saida
